mds_code,bookid,title,description
651,1000172,Records and Information Management: Fundamentals of Professional Practice,"Records and Information Management: Fundamentals of Professional Practice, Fourth Edition presents principles and practices for systematic management of recorded information. It is an authoritative resource for newly appointed records managers and information governance specialists as well as for experienced records management and information governance professionals who want a review of specific topics. It is also a textbook for undergraduate and graduate students of records management or allied disciplines--such as library science, archives management, information systems, and office administration--that are concerned with the storage, organization, retrieval, retention, or protection of recorded information. The fourth edition has been thoroughly updated and expanded to: -Set the professional discipline of RIM in the context of information governance, risk mitigation, and compliance and indicate how it contributes to those initiatives in government agencies, businesses, and not-for-profit organizations -Provide a global perspective, with international examples and a discussion of the differences in records management issues in different parts of the world. Its seven chapters are practical, rather than theoretical, and reflect the scope and responsibilities of RIM programs in all types of organizations. -Emphasize best practices and relevant standards. The book is organized into seven chapters that reflect the scope and responsibilities of records and information management programs in companies, government agencies, universities, cultural and philanthropic institutions, professional services firms, and other organizations. Topics covered include the conceptual foundations of systematic records management, the role of records management as a business discipline, fundamentals of record retention, management of active and inactive paper records, document imaging technologies and methods, concepts and technologies for organization and retrieval of digital documents, and protection of mission-critical records. In every chapter, the treatment is practical rather than theoretical. Drawing on the author's extensive experience supplemented by insights from records management publications, the book emphasizes key concepts and proven methods that readers can use to manage electronic and physical records."
651,10005452,Perfect Phrases for Letters of Recommendation (Perfect Phrases Series),"""Whether writing one or asking someone else to write it, a letter of recommendation can be a daunting task. What should you say in it? What phrases will really sell a candidate (or yourself) without sounding over-the-top? This handy reference will guide you through the process with hundreds of ready-to-use phrases that will surely help you or the applicant land the job or gain admittance to the desired school""--Cover, p. 4."
651,10009142,"Gamestorming: A Playbook for Innovators, Rulebreakers, and Changemakers","Great things don't happen in a vacuum. But creating an environment for creative thinking and innovation can be a daunting challenge. How can you make it happen at your company? The answer may surprise you: gamestorming. This book includes more than 80 games to help you break down barriers, communicate better, and generate new ideas, insights, and strategies. The authors have identified tools and techniques from some of the world's most innovative professionals, whose teams collaborate and make great things happen. This book is the result: a unique collection of games that encourages."
651,10037149,Webster's New World Secretarial Handbook,All the information a secretary needs to keep an office running smoothly and efficiently.
651,10038394,Speak Strong: Say what you MEAN. MEAN what you say. Don&#039;t be MEAN when you say it.,"""Speak Strong!"" It's a leadership skill, a success strategy and a moral imperative. Research shows 90% of us stay silent in situations that call for strong words. Don't want to rock the boat? Author Meryl Runion, CSP, explains why some boats NEED to be rocked...for the right reasons...at the right time...in the right way. * Know when it's time to speak up * Overcome resistance to unwelcome truths * Establish and implement boundaries * Create new communication standards * Supercharge your message * Elevate the quality of your conversations * Overcome destructive communication habits * Put your best foot forward sincerely * One hour audio CD included containing the entire searchable PDF of the bestselling PowerPhrases! book so you can immediately get the words to apply your SpeakStrong skills. The CD also includes a communication style inventory, the flash presentation of ""The Legend of Mighty Mouth and of A World of Truth"" and more. Meryl Runion's ""PowerPhrases!"" book Series has helped over a quarter million readers find the perfect phrases to communicate clearly. ""Speak Strong"" is the perfect ""next step"" for those who rely on communication skills to build successful careers and relationships"
651,10053851,The Basics: Business Communication,"The Basics of Business Communication focuses on the business communication principles and their written applications. Short, concise content delivers a thorough approach, with clear-cut examples and exercises to reinforce learning. Use of current technology and the Internet have been incorporated as well as the SCANS workplace readiness skills. Humor is also added to emphasize key principles and concepts."
651,1006160,Clear Your Desk!: The Definitive Guide to Conquering Your Paper Workload - Forever!,"In this bestselling guide, Declan Treacy shows how to identify paperwork problems, reduce the inflow of unnecessary paperwork, prioritise paperwork, develop a fast and efficient filing system, and organise an in-company 'Clear Your Desk!' day."
651,10205340,Save the Assistants: A Guide to Surviving and Thriving in the Workplace,"A blog in book form devoted to the ups and downs of an assistant's life. Making The Devil Wears Prada (Broadway Books, 2006) look like a love story, Save the Assistants tells it like it really is for the millions who slave away under tyrannical bosses. With her trademark wit, Marcus breaks down the average day's work, from the mundane to the humiliating, and introduces readers to the different kinds of bosses people can suffer. Finally, this is the book assistants have always been waiting for."
651,10257230,"The Definitive Personal Assistant and Secretarial Handbook: A Best Practice Guide for All Secretaries, Pas, Office Managers and Executive Assistants","The Definitive Personal Assistant and Secretarial Handbook is the ultimate guide for all management assistants, PAs, secretaries and executive assistants. Written by a former Times Crème PA of the Year, it deals with every aspect of these vital administrative roles and the necessary skills, including: relationship management, communication and confidence, the secrets of body language, listening and questioning skills, coping with pressure and stress, dealing with difficult people, time management and personal organization. The Definitive Personal Assistant and Secretarial Handbook is set to become a bible for all assistants world wide. Comprehensive and accessible, it will help you to maintain a professional image and achieve resounding success. To access all additional resources for this book, visit http://www.koganpage.com/resources/pash"
651,1032162,Taming the Paper Tiger at Work,"The books in this series contain 50 photocopiable extracts covering the year-appropriate range of fiction, non-fiction and poetry. Each extract is supported by teacher's notes and an annotated mini-version of each extract to show how it can be worked in the lesson. Teacher's notes show how text can be used to teach multiple objectives and ideas are given for reading and writing activities."
651,10405703,How to Keep Union Records,"How to keep union records illustrates how basic archival theory and best practice methodologies can be applied to the challenges presented by labor collections. This volume highlights recent transformations in the labor archives world, such as changes in recordkeeping practices, the impact of union mergers and the consolidation movement on archival collections, the growing importance of media collections, and electronic records as well as union websites. Also included in the volume are an extensive bibliography and a directory of labor archives in the United States."
651,1042016,Professional Secretary's Encyclopedic Dictionary,"This revised edition provides step-by-step guidance that allows office professionals to complete secretarial tasks quickly and easily. With its carefully selected array of topics designed to answer the many practical questions that arise each day, it also includes a database of reference material."
651,10614408,Effective Business Communications,"This seventh edition strengthens the research orientation and academic base of previous editions, and includes examples, critical-thinking exercises and problems based on real business situations. Also included are step-by-step explanations to help students organize letters, memos, reports, presentations and meetings. Checklists offer guidelines to students when planning business communication. Memonic Seven C Principles serve as the basic guidelines to business communication. Chapters new to this edition include those on ethics and technology."
651,10655014,"Be a Brilliant Business Writer: Write Well, Write Fast, and Whip the Competition","Leverage the power of effective writingBe a Brilliant Business Writer gives you tools for mastering the art of persuasive writing in every document you create, from email and client letters to reports and presentations. Jane Curry and Diana Young will show you how to convey your message with clarity and power, increase your productivity by reducing rewrites, and provide just the right tone for navigating the minefield of office politics. With its smart, savvy advice, Be a Brilliant Business Writer will help you write to boost the bottom line, win professional accolades, and gain greater job security."
651,10692396,Improve Your Business Communication,"Get answers, get action! Supercharge your business writing, question asking, presentation delivery, and more! Three full books of proven solutions for supercharging personal effectiveness by improving the way you communicate! Master 52 proven, bite-size, easy-to-use business writing techniques for improving everything from emails to proposals… discover how to ask better questions, and get better, more actionable answers… learn how to make presentations that win, from the world’s #1 presentation expert! From world-renowned leaders and experts, including Natalie Canavor, Claire Meirowitz, T. J. Fadem, and Jerry Weissman"
651,1071418,"Loud And Clear: How To Prepare And Deliver Effective Business And Technical Presentations, Fourth Edition","How do you want your next presentation to come across? as a bland outline that glosses over your topic? as a ""data dump,"" confusing or boring your audience? as nerve-wracking torture for everyone involved? The key to effective presentations is preparation, so Loud and Clear shows you six steps for planning any technical or business presentation. It discusses the best use of audiovisual aids and explains the basics of set-up and delivery. Loud and Clear' s practical, step-by-step advice has helped more than 300,000 technical experts become expert presenters as well. Whether you present proposals to new clients or a weekly status report, Loud and Clear will help you deliver your message clearly and confidently."
651,10725376,Master the Clerical Exams,"Written by the founding president of the National Association of Health Unit Coordinators, this edition examines the latest advances in health-care delivery - as well as innovations in the procedures used by health unit coordinators and unit clerks/secretaries. It presents the most up-to-date information on recent changes within the health care community and their impact on the duties of the health unit coordinator. Detailed guidelines help readers improve their medical terminology, professionalism, communication, and assertion skills.Chapters have been added to this edition on psychiatry and pediatrics, with expanded coverage of anatomic structures and medical terms."
651,10894070,Swimming in the Steno Pool: A Retro Guide to Making It in the Office,"Author-secretary Peril profiles the various incarnations of the secretary, from pliable, sexy mate of the ""office husband"" to postfeminist executive-in-training, drawing inspiration from a wide range of ""femorabilia"" and secretarial guidebooks of yesteryear."
651,1090844,The One-Page Proposal: How to Get Your Business Pitch onto One Persuasive Page,"As clear, concise, and concrete as its subject, Patrick Riley's The One-Page Proposal promises to be the definitive business guide to getting your best ideas fully understood in the least amount of time. Today more than ever, business decisions are made on the fly first impressions can make all the difference. Now, in the first book of its kind, successful entrepreneur Patrick Riley shows you how to boil all the elements of your business proposal into one persuasive page magnify your business potential in the process."
651,10951043,Eliminate the Chaos at Work: 25 Techniques to Increase Productivity,"Create office efficiency and business productivity with this helpful book. Eliminate the Chaos at Work increases your business productivity and peace of mind by showing you how to create streamlined information systems, processes and workflows. Laura's proven 25 techniques are easy to implement, realistic and results oriented. Using these techniques, you can take control over your time and information to create workable systems built to reflect how you think and process information. Eliminate the Chaos at Work breaks down the everyday organization and productivity ch"
651,1095210,Electronic records retention: New strategies for data life cycle management,"Building on their 1995 groundbreaking book on electronic records retention, David Stephens and Roderick Wallace have authored a comprehensive book that defines a practical methodology for applying the principles of records retention to computer-based recordkeeping environments. The book includes chapters on:- the business case for electronic records retention - a cost-benefit analysis for retaining versus scheduling and purging electronic records - desktop environments - e-mail retention - Web environments - digital preservation / long-term data retention - legacy data - legislation and court cases - case studiesThis book also addresses the implications of:the international records management standard, the first-ever global standard on records management, which endorsed the concept of records retention as a best practice for managing the life cycle of information (ISO 15489 - 1 Information and Documentation ? Records Management ? Part 1: General) - the U.S. Department of Defense standard prescribing requirements pertaining to records management software applications (DoD 5015.2-STD, ?Design Criteria Standard for Electronic Records Management Software Applications?) - the U.S. Internal Revenue Services-issued Revenue Procedure 98-25, which imposes certain long-term data retention requirements on corporate taxpayers"
651,11050602,Lesikar's Business Communication: Connecting in a Digital World,"This 13th edition of Lesikar’s Business Communication: Connecting in a Digital World , by Kathryn Rentz, and Paula Lentz brings the contemporary perspective of two expert teachers to Ray Lesikar's classic textbook. Taking a unique problem-solving approach, it integrates current technologies and trends throughout, while maintaining an emphasis on the fundamentals: careful analysis of the communication problem, development of an audience-focused solution, and clear, correct use of language and visuals. Combined with abundant realistic examples, exercises, and cases, this approach makes Lesikar one of the most pedagogically effective books in the field."
651,11081746,"The Exceptional Presenter Goes Virtual: Take Command of Your Message, Create an &#039;&#039;In-Person&#039;&#039; Experience, and Captivate Any Remote Audience","A critical tool for any professional who needs to deliver effective, engaging presentations at a distance. Features: Covers all types of virtual, online, or distance presentations. Conference calls, webinars, virtual meetings, video blogs. Sales calls, speeches, interviews, negotiations. This book covers it all, offering practical tips, tricks, worksheets, and checklists for overcoming the hurdles to engagement that occur when you aren't in the same room with your audience; The first of its kind on the national market. Every day, more and more professionals are required to present to distant audiences -- to save money, to save travel time and costs, and to connect with new customers and colleagues. No other book on the market offers business people the tools they need to approach these presentations with confidence; Written by a presentation guru at the forefront of online engagement. Through his work with such companies as Cisco Systems, a leader in virtual technology, and Forbes Online, the leader of online content delivery, Timothy Koegel has garnered unique insights into what it takes to deliver persuasive, compelling presentations at a distance."
651,11096434,Protecting Your Health Privacy: A Citizen's Guide to Safeguarding the Security of Your Medical Information,"Online sites for keeping personal health records are privacy minefields. Individuals are increasingly exposing their health information to abuse by careless postings to social networking sites. Medical ID theft is a serious and growing problem that often has catastrophic consequences for victims' wealth and health. The 2010 Health Reform bill and the 2009 Economic Stimulus package incentivize medical providers to increase their use of electronic health records, which bring increased clinical benefits but also increased risks to privacy and security of medical information."
651,11112487,Lean Office and Service Simplified: The Definitive How-To Guide,"Winner of a 2012 Shingo Research and Professional Publication Award Demystifying the application of Lean methods, Lean Office and Service Simplified: The Definitive How-To Guide goes beyond the basic tools to detail the key concepts of Lean as they apply to office and service environments. It begins by discussing value stream management, followed by chapters on standard work, flow, level pull, and visual management. Winner of a 2012 Shingo Prize , this book covers essential Lean tools, including 5S and mistake proofing. It breaks down Lean concepts into their elementary components, describes them in a nonmanufacturing context, and supplies readers with specific how-to methodologies. Providing detailed examples throughout, the text illustrates the functions found in most service organizations, as well as the administrative areas of manufacturing companies. Drawing on more than two decades of practical experience, the author provides implementation strategies on a function-by-function and department-by-department basis. He examines the most common obstacles that readers are likely to encounter and supplies strategies to address those obstacles. The text includes a toolbox of helpful forms, charts, checklists, templates, and worksheets to help kick-start your Lean implementation efforts. Watch Shingo Prize-winning author Drew Locher discuss how to implement Lean concepts into your office and service settings."
651,11297282,The AMA Handbook of Business Documents: Guidelines and Sample Documents That Make Business Writing Easy,Need to put it in writing? Don't type a word without this crucial resource!
