DDC,Title,Description
165,The Berenstain Bears and the Trouble with Chores,"Papa Bear and the cubs really prefer not to do their chores, and Mama Bear decides to go along with their idea."
165,"Labyrinths of Reason: Paradox, Puzzles, and the Frailty of Knowledge","This sharply intelligent, consistently provocative book takes the reader on an astonishing, thought-provoking voyage into the realm of delightful uncertainty--a world of paradox in which logical argument leads to contradiction and common sense is seemingly rendered irrelevant."
165,How to Win Every Argument: The Use and Abuse of Logic,"In the second edition of this witty and infectious book, Madsen Pirie builds upon his guide to using - and indeed abusing - logic in order to win arguments. By including new chapters on how to win arguments in writing, in the pub, with a friend, on Facebook and in 140 characters (on Twitter), Pirie provides the complete guide to triumphing in altercations ranging from the everyday to the downright serious"
165,The Night at the Museum,Hector gets a job as a night warden at the Museum of Natural History and finds out that it's not as quiet as he expected.
165,Heroic Enthusiasts,The Heroic Enthusiasts is a deeply allegorical dialogue by Giordano Bruno. It is a philosophical discussion of love and the nature of God and Man. This great work is reminiscent of Shakespeare.
165,Girls Rule! (Boy/Girl Battle),"The Malloy girls and the Hatford boys try to outdo each other in a quest to earn money and choose how to participate in the annual Buckman, West Virginia, Strawberry Festival."
165,With Good Reason: An Introduction to Informal Fallacies,"A concise, easy-to-read introduction to informal logic, ""With Good Reason"" offers both comprehensive coverage of informal fallacies and an abundance of engaging examples of both well-conceived and faulty arguments. A long-time favorite of both students and instructors, the text continues in its sixth edition to provide an abundance of exercises that help students identify, correct, and avoid common errors in argumentation."
165,Attacking Faulty Reasoning: A Practical Guide to Fallacy-Free Arguments,"Increasingly, college courses and programs require a critical thinking component and include assignments meant to measure your critical thinking skills. ATTACKING FAULTY REASONING: A PRACTICAL GUIDE TO FALLACY-FREE ARGUMENTS, SEVENTH EDITION, can help you brush up on these skills and learn how to develop the logical, persuasive arguments you need now and throughout your career. This useful handbook addresses more than 60 common fallacies of logic with the help of over 200 memorable examples. It provides explanations and tips for ""attacking"" fallacious thinking, and is an ideal resource when writing papers, essays, or arguments."
165,The Tuttle Twins Guide to: Logical Fallacies,"In a society where countless ideas are being shared, debated, and analyzed, it's more important than ever to sift out the good ones from among the bad ones. And when people you respect and trust use arguments that sound persuasive, how can you determine if they are correct? One of the most commonly used methods of spreading misinformation is the use of a logical fallacy--a bad argument that makes something seem truthful that actually might not be. These types of arguments are used repeatedly, and there are many different types. Fortunately, these logical fallacies can be learned, so they can be avoided. Armed with this information, you'll be equipped to understand when people are sharing an idea that is wrong or making a claim that isn't true. You'll become an expert debater by being able to point out a flaw in an opponent's argument. That makes this book dangerous--a guidebook for teenagers and young adults who want to explore the ins and outs of how to win arguments and point out problems in others' ideas."
165,The Emperor's New Groove (Disney's Wonderful World of Reading),"A very self-indulgent emperor is turned into a llama by his advisor who wants to take over the royal power. After surviving many adventures with a peasant, the emperor regains his human form along with learning that kindness and friendship are the most valuable things in the world."
165,Close Your Eyes,A lullaby interspersed with illustrations of a father's efforts to put his reluctant child to bed.
